,name,address,no_available,dock_bikes,lat_destino,long_destino,Posicion_destino
81,Niño Jesús,Calle Doctor Esquerdo nº 161,0,9,40.4084556,-3.6697526,POINT (4498248.701134604 -408794.5866454298)
82,Pío Baroja,Calle Pío Baroja nº 10,0,20,40.4132995,-3.6745323,POINT (4498787.921616057 -409327.7550764651)
83,Valderribas,Calle Doctor Esquerdo nº 191,0,10,40.4032501,-3.6726019,POINT (4497669.227525279 -409112.4214819339)
84,Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,0,10,40.421501,-3.680008,POINT (4499700.908419798 -409938.5647838628)
85,Cibeles,Plaza Cibeles,0,6,40.4186516,-3.6933498,POINT (4499383.714662732 -411426.8470284207)
86,Ayala,Calle Ayala nº 44,0,19,40.427736,-3.6832566,POINT (4500394.985444895 -410300.9451425157)
87,Embajada de Italia,Calle Velázquez nº 75,0,9,40.4313576,-3.6838303,POINT (4500798.140112751 -410364.9413433581)
88,Conde Peñalver,Calle Ayala nº 102,0,19,40.4272582,-3.6752024,POINT (4500341.796992193 -409402.503963725)
89,General Pardiñas,Calle Goya nº 18,0,11,40.4250361,-3.6837876,POINT (4500094.433951701 -410360.17815948)
90,Príncipe de Vergara,Calle Hermosilla nº 70,0,13,40.426134,-3.6787441,POINT (4500216.651620643 -409797.5774739215)
91,Claudio Coello,Calle Claudio Coello nº 45,0,5,40.4262945,-3.6865463,POINT (4500234.518398915 -410667.9115417489)
92,Plaza de Colón,Calle Goya nº 1,0,4,40.4257046,-3.6893698,POINT (4500168.851031297 -410982.874361928)
93,Biblioteca Nacional,Paseo de Recoletos nº 20,0,2,40.4232153,-3.690756,POINT (4499891.743422865 -411137.5060231346)
94,Villanueva,Calle Claudio Coello nº 109,0,10,40.4226584,-3.6870548,POINT (4499829.749598443 -410724.6348941579)
95,Castelló,Calle Alcalá nº 111,0,16,40.422064,-3.6821793,POINT (4499763.581293114 -410180.7725031088)
96,Alcalá,Avenida de Menéndez Pelayo nº 3,0,9,40.4222969,-3.6805189,POINT (4499789.50760252 -409995.5554384995)
97,Plaza de Felipe II,Plaza de Felipe II,0,8,40.4239447,-3.6758383,POINT (4499972.93985945 -409473.4379320957)
98,Alcántara,Calle Alcántara nº 2,0,18,40.4261851,-3.6738714,POINT (4500222.340046623 -409254.0324936567)
99,Palacio de Deportes,Calle Goya nº 99,0,9,40.42478,-3.67384,POINT (4500065.925030109 -409250.5298636022)
100,Jorge Juan,Calle Jorge Juan nº 131,0,8,40.4231526,-3.6691524,POINT (4499884.763690793 -408727.6354291694)
101,Velázquez,Calle Alcalá nº 95,0,22,40.4211802,-3.6840229,POINT (4499665.197127152 -410386.4258711423)
102,Ortega y Gasset,Calle José Ortega y Gasset nº 4,0,5,40.43037,-3.68653,POINT (4500688.200983644 -410666.0932715975)
103,Castellana,Paseo de la Castellana nº 4,0,8,40.42677,-3.68958,POINT (4500287.450816788 -411006.322315812)
104,Serrano,Calle Serrano nº 54,0,9,40.42699,-3.68745,POINT (4500311.941104763 -410768.7196144414)
105,Colón A,Calle Serrano nº 34,0,10,40.4251002,-3.6877227,POINT (4500101.569531062 -410799.1394214677)
106,Colón B,Calle Serrano nº 34,0,9,40.424963,-3.687745,POINT (4500086.296496924 -410801.6269968595)
107,Columela,Calle Serrano nº 8,0,2,40.4215246,-3.6884369,POINT (4499703.535559781 -410878.8087952816)
108,Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2,0,8,40.4273005,-3.6706024,POINT (4500346.505806655 -408889.3803637784)
109,Marqués de Salamanca,Calle José Ortega y Gasset nº 30,1,0,40.4300481,-3.6816402,POINT (4500652.367239557 -410120.636040573)
110,Moncloa,Paseo de Moret nº 2,0,13,40.4347895,-3.7200845,POINT (4501180.177473204 -414409.1791481215)
111,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,0,20,40.4337322,-3.7175435,POINT (4501062.47937559 -414125.7194619759)
112,Arcipreste de Hita B,Calle Arcipreste de Hita nº 12,0,11,40.4341006,-3.7179687,POINT (4501103.489475997 -414173.1523285306)
